timestamp_in_ms,label
7720.6349206349205,S
8463.673469387755,FH
32380.22675736961,S
33030.38548752834,BH
34435.19274376417,BH
35654.24036281179,BH
36873.287981859416,L
65898.23129251701,S
86471.11111111111,S
103363.62811791383,S
104118.27664399092,FH
144637.09750566893,S
160345.3968253968,S
160972.33560090704,FH
189428.39002267574,S
190217.86848072562,FH
192145.12471655328,BH
224920.09070294784,S
225570.24943310657,BH
252575.0566893424,S
253352.92517006805,FH
255245.3514739229,FH
256696.59863945577,L
259111.4739229025,V
287892.6077097506,S
288542.7664399093,BH
289970.79365079367,FH
291259.50113378686,BH
292780.40816326527,BH
293813.69614512473,FH
295381.04308390024,FH
330106.48526077095,S
351457.2335600907,S
352165.4421768707,BH
370242.17687074834,S
370880.7256235827,L
373318.820861678,BH
374688.79818594106,BH
376047.1655328798,BH
377382.31292517006,FH
378996.09977324266,FH
380261.58730158734,BH
410459.13832199544,S
411178.95691609976,BH
437220.1360544217,S
437916.7346938776,FH
439402.8117913832,FH
462611.15646258503,S
463354.19501133787,FH
464863.49206349207,BH
466001.2698412698,FH
467220.31746031746,FH
468404.53514739225,FH
501562.6303854875,S
502236.0090702948,BH
516667.2108843537,S
517410.2494331066,FH
528822.8571428572,S
529647.1655328799,FH
530773.3333333333,FH
532398.7301587302,BH
533699.0476190476,BH
535150.2947845805,SL
536682.8117913832,FH
567960.0907029478,S
579453.9682539683,S
580173.7868480727,FH
581346.3945578232,FH
582902.1315192743,FH
611462.6757369615,S
612124.4444444444,BH
613564.081632653,FH
643982.2222222222,S
656068.20861678,S
656892.5170068027,BH
658018.6848072562,FH
659597.641723356,FH
660886.3492063492,FH
661966.0770975057,FH
706629.6598639456,S
707314.6485260772,BH
708707.8458049886,FH
710101.0430839002,BH
711076.2811791382,BH
711900.589569161,V
744710.3854875284,S
745337.3242630386,BH
761219.7732426304,S
761916.3718820862,FH
763100.589569161,FH
764517.0068027211,BH
765828.9342403628,SL
767396.2811791383,FH
768777.8684807256,SL
770809.6145124716,FH
772121.5419501134,FH
806069.1156462586,S
824145.850340136,S
825051.4285714285,BH
826119.5464852608,BH
827326.9841269841,BH
