timestamp_in_ms,label
1120,SS
1800,FB
3360,TF
4720,TB
5920,TF
7240,TB
8560,TF
9720,TF
11120,TF
12360,TB
13440,TF
14960,TF
16200,SB
18120,TF
24960,KS
25720,TB
27440,TF
28760,TB
30480,TF
31760,SB
33840,FF
35120,TF
36400,TF
37720,SB
39440,FF
45760,KS
46440,TB
47760,SB
49440,TF
50760,TB
52160,TF
53440,TF
54840,SB
56720,FF
57560,BL
59760,FF
61240,FB
62880,TF
64239,FB
65560,DF
74640,FS
75720,FB
77120,FF
78160,TB
79560,TF
80840,TF
82240,TB
83440,TF
84960,FF
86080,TF
87280,SB
88640,TF
89720,TB
91600,TF
92920,TB
94440,TF
95520,TB
97039,TF
98280,TB
99800,TF
103160,KS
103880,TF
105039,TF
106680,FF
107840,TF
109280,TB
110640,SB
112280,TF
113640,TB
114880,SB
116680,FF
117960,TB
119280,TF
120480,TF
121680,FL
124360,FF
130600,KS
131360,TB
132760,TF
134000,SB
135600,TF
136800,FF
138160,SB
139800,FF
141040,FB
149120,KS
149800,FB
151320,FF
152400,TF
153640,TB
155120,FB
156360,TF
157600,TB
158640,FF
159920,TB
160960,TB
167720,KS
168520,FB
170240,FF
171400,TB
171920,FV
173400,FL
174480,BS
175880,FF
185880,KS
186840,TB
188160,FF
189440,TB
190800,TF
191800,FL
194480,TB
195760,TB
197079,TB
199320,DF
201040,BL
202040,BS
207640,KS
208440,TB
210200,TF
211400,TB
212800,TF
213960,SF
215720,FF
217160,BL
218720,FS
219200,BL
223440,FS
224400,SB
226240,FF
