timestamp_in_ms,label
1120,S
1800,BH
3360,FH
4720,BH
5920,FH
7240,BH
8560,FH
9720,FH
11120,FH
12360,BH
13440,FH
14960,FH
16200,SL
18120,FH
24960,S
25720,BH
27440,FH
28760,BH
30480,FH
31760,SL
33840,FH
35120,FH
36400,FH
37720,SL
39440,FH
45760,S
46440,BH
47760,SL
49440,FH
50760,BH
52160,FH
53440,FH
54840,SL
56720,FH
57560,L
59760,FH
61240,BH
62880,FH
64239,BH
65560,DS
74640,SM
75720,BH
77120,FH
78160,BH
79560,FH
80840,FH
82240,BH
83440,FH
84960,FH
86080,FH
87280,SL
88640,FH
89720,BH
91600,FH
92920,BH
94440,FH
95520,BH
97039,FH
98280,BH
99800,FH
103160,S
103880,FH
105039,FH
106680,FH
107840,FH
109280,BH
110640,SL
112280,FH
113640,BH
114880,SL
116680,FH
117960,BH
119280,FH
120480,FH
121680,L
124360,FH
130600,S
131360,BH
132760,FH
134000,SL
135600,FH
136800,FH
138160,SL
139800,FH
141040,BH
149120,S
149800,BH
151320,FH
152400,FH
153640,BH
155120,BH
156360,FH
157600,BH
158640,FH
159920,BH
160960,BH
167720,S
168520,BH
170240,FH
171400,BH
171920,V
173400,L
174480,SM
175880,FH
185880,S
186840,BH
188160,FH
189440,BH
190800,FH
191800,L
194480,BH
195760,BH
197079,BH
199320,DS
201040,L
202040,SM
207640,S
208440,BH
210200,FH
211400,BH
212800,FH
213960,SL
215720,FH
217160,L
218720,SM
219200,L
223440,SM
224400,SL
226240,FH
